id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
79122,642551c7-fe63-4c14-9cea-e9325e4eb1d9,Tue Aug 09 2011 14:47:59 GMT-0700 (PDT),2011-08-09,2011-08-09 15:47:59 -0600,Pacific Time (US & Canada),6637,davidsnyder24,"",2012-05-14 20:29:20 -0600,2022-08-07 00:26:24 -0600,research,CC-BY,http://www.inaturalist.org/observations/79122,https://static.inaturalist.org/photos/116811/medium.jpg,,"","",2,0,false,,"15785–15827 US-93, Overton, Nevada, US",36.436752,-114.958191,15710,,,,15710,,,false,,,Narrow-winged Saltbush Grasshopper,Aeoloplides tenuipennis,Narrow-winged Saltbush Grasshopper,Insecta,212568
291034,f48bf306-db03-4597-adce-ffdb53c47d03,2013-05-21,2013-05-21,,Pacific Time (US & Canada),642,biosam,Sam McNally,2013-06-06 21:54:49 -0600,2022-08-09 02:29:58 -0600,research,CC-BY-NC,http://www.inaturalist.org/observations/291034,https://inaturalist-open-data.s3.amazonaws.com/photos/360196/medium.JPG,,"","",1,0,false,,"Nye County, NV",39.046119,-117.329178,3119,,,,3119,,,false,,manual,Brown-spotted Range Grasshopper,Psoloessa delicatula,Brown-spotted Range Grasshopper,Insecta,229239
299835,8097ac9f-ac41-4e15-a013-66331063c5a5,2013-06-01,2013-06-01,,Pacific Time (US & Canada),642,biosam,Sam McNally,2013-06-14 17:28:27 -0600,2020-08-12 22:47:05 -0600,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/299835,https://inaturalist-open-data.s3.amazonaws.com/photos/371580/medium.JPG,,"","",1,0,false,,Hickison Petroglyphs Recreation Area,39.447117,-116.753426,1316,,,,1316,,,false,,manual,Acrididae,Xanthippus corallipes,Red-shanked Grasshopper,Insecta,233680
307553,92963cbb-a25f-414c-b2f2-381351541b9c,2013-06-16,2013-06-16,,Pacific Time (US & Canada),642,biosam,Sam McNally,2013-06-21 17:52:27 -0600,2020-08-12 22:46:51 -0600,research,CC-BY-NC,http://www.inaturalist.org/observations/307553,https://inaturalist-open-data.s3.amazonaws.com/photos/381532/medium.JPG,,"","",1,0,false,,Berlin-Ichthyosaur State Park,38.872111,-117.592936,852,,,,852,,,false,,manual,Red-shanked Grasshopper,Xanthippus corallipes,Red-shanked Grasshopper,Insecta,233680
324435,0afcd3d4-d75e-47ac-b8b1-959557cd030a,2013-06-26 08:04:17,2013-06-26,2013-06-26 09:04:17 -0600,Pacific Time (US & Canada),642,biosam,Sam McNally,2013-07-07 18:07:18 -0600,2021-02-08 10:32:33 -0700,research,CC-BY-NC,http://www.inaturalist.org/observations/324435,https://inaturalist-open-data.s3.amazonaws.com/photos/403802/medium.JPG,,"","",2,0,false,,Ruby Mountain WIlderness,40.3595,-115.49244,100,,,,100,,,false,,manual,Red-shanked Grasshopper,Xanthippus corallipes,Red-shanked Grasshopper,Insecta,233680
324444,2637959a-817f-4708-9692-785172697556,2013-06-26 08:14:05,2013-06-26,2013-06-26 09:14:05 -0600,Pacific Time (US & Canada),642,biosam,Sam McNally,2013-07-07 18:12:01 -0600,2022-08-09 02:29:19 -0600,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/324444,https://inaturalist-open-data.s3.amazonaws.com/photos/403814/medium.JPG,,"",on corn lily leaf. Juvenile.,1,0,false,,Ruby Mountain WIlderness,40.3595,-115.49244,100,,,,100,,,false,,manual,North American Spur-throated Grasshoppers,Melanoplus,North American Spur-throated Grasshoppers,Insecta,63523
334964,49ef23cd-4907-4acf-b41d-0473bac31f36,2013-06-27 20:39:23,2013-06-27,2013-06-27 21:39:23 -0600,Pacific Time (US & Canada),642,biosam,Sam McNally,2013-07-16 18:45:37 -0600,2020-08-14 11:08:09 -0600,research,CC-BY-NC,http://www.inaturalist.org/observations/334964,https://inaturalist-open-data.s3.amazonaws.com/photos/417987/medium.JPG,,"","I found this grasshopper in my tent at night, and tossed it out. The next morning I found it beneath the rain fly, so I was able to get a closer look at it. Note the red inner ""thighs"".",2,0,false,,Ruby Mountains Wilderness,40.3595,-115.49244,100,,,,100,,,false,,manual,Red-shanked Grasshopper,Xanthippus corallipes,Red-shanked Grasshopper,Insecta,233680
390701,d192dd78-671b-477e-a2af-38169afe997d,2013-09-04 14:25:33,2013-09-04,2013-09-04 15:25:33 -0600,Pacific Time (US & Canada),642,biosam,Sam McNally,2013-09-07 14:17:07 -0600,2024-01-07 10:06:01 -0700,research,CC-BY-NC,http://www.inaturalist.org/observations/390701,https://inaturalist-open-data.s3.amazonaws.com/photos/488680/medium.JPG,,"","",2,0,false,,"Jarbidge Wilderness, NV",41.82644,-115.419994,3147,,,,3147,,,false,,manual,Undulant-Winged Grasshopper,Circotettix undulatus,Undulant-Winged Grasshopper,Insecta,153391
627364,872748e7-eaf1-4263-9ee5-9ba8ae1caedf,10/15/13,2013-10-15,,Pacific Time (US & Canada),19785,jeckberg,Jason Eckberg,2014-04-16 09:03:21 -0600,2024-08-29 10:45:26 -0600,research,CC-BY,http://www.inaturalist.org/observations/627364,https://inaturalist-open-data.s3.amazonaws.com/photos/789308/medium.jpg,,"","",2,0,false,,"Big Bend Conservation Area, Laughlin, NV",35.104743,-114.649072,133,,,,133,,,false,,manual,Cattail Toothpick Grasshopper,Leptysma marginicollis,Cattail Toothpick Grasshopper,Insecta,67663
628814,609b4f3b-fa43-4516-ac14-86e7c2d2c20e,11/14/11,2011-11-14,,Pacific Time (US & Canada),19785,jeckberg,Jason Eckberg,2014-04-17 11:03:36 -0600,2024-08-29 10:45:26 -0600,needs_id,CC-BY,http://www.inaturalist.org/observations/628814,https://inaturalist-open-data.s3.amazonaws.com/photos/791320/medium.jpg,,"","",1,0,false,,Clark County Wetlands Park,36.101128,-115.023079,7626,,,,7626,,,false,,,North American Spur-throated Grasshoppers,Melanoplus,North American Spur-throated Grasshoppers,Insecta,63523
