id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
850839,8c3aa555-8c05-4f01-a01b-7435070a0bc8,Wed Aug 27 2014 09:48:58 GMT-0500 (CDT),2014-08-27,2014-08-27 14:48:58 UTC,Central Time (US & Canada),3217,david_toledo,"",2014-08-27 21:52:59 UTC,2022-11-30 06:13:32 UTC,needs_id,,http://www.inaturalist.org/observations/850839,https://static.inaturalist.org/photos/1077459/medium.jpg,,"",,5,0,false,3,"2201–2225 44th St, Mandan, ND, US",46.7896916667,-100.9212416667,,,,,,,,false,,,True Crickets and Allies,Grylloidea,True Crickets and Allies,Insecta,50158
1258265,813ff959-2bae-4ae1-b649-c16943fcc1cc,2013-07-01 17:21:13,2013-07-01,2013-07-01 22:21:13 UTC,Central Time (US & Canada),65504,scottking,Scott King,2015-02-26 04:01:13 UTC,2023-07-08 12:24:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1258265,https://inaturalist-open-data.s3.amazonaws.com/photos/1579699/medium.jpg,,"","Field Cricket
Mirror Pool WMA
North Dakota",2,0,false,,"North Dakota, United States",46.551216,-97.301187,,,,,,,,false,,"",Spring Field Cricket,Gryllus veletis,Spring Field Cricket,Insecta,129135
6734060,4e2bc1ba-0ea3-444c-8632-25e90bf4a835,2017/06/15 1:59 PM EDT,2017-06-15,2017-06-15 17:59:00 UTC,Eastern Time (US & Canada),81292,msieges,"",2017-06-20 20:04:07 UTC,2023-07-06 16:54:45 UTC,research,CC0,https://www.inaturalist.org/observations/6734060,https://inaturalist-open-data.s3.amazonaws.com/photos/8548662/medium.jpg,,"",,1,0,false,,"2525 River Rd, Bismarck, ND 58503, USA",46.833492,-100.832418,153,,,,153,,,false,,,Spring Field Cricket,Gryllus veletis,Spring Field Cricket,Insecta,129135
15788052,9790d9f6-a1d9-4520-a17f-8083a9e88bd6,Wed Aug 22 2018 12:03:04 GMT-0500 (CDT),2018-08-22,2018-08-22 17:03:04 UTC,Central Time (US & Canada),583685,carol333,,2018-08-22 17:37:54 UTC,2022-11-30 04:16:11 UTC,research,,https://www.inaturalist.org/observations/15788052,https://static.inaturalist.org/photos/23592482/medium.jpg,,"",,1,0,false,3,"1006 E Boulevard Ave, Bismarck, ND, US",46.8189716667,-100.7785716667,10,,,,10,,,false,,,Fall Field Cricket,Gryllus pennsylvanicus,Fall Field Cricket,Insecta,122193
16600511,dc6b79b8-5b53-4c8c-b523-011e2ac350b1,Sun Sep 16 2018 10:20:00 GMT-0500 (CDT),2018-09-16,2018-09-16 15:20:00 UTC,Central Time (US & Canada),461506,megnd,"",2018-09-16 19:51:25 UTC,2018-11-06 02:30:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/16600511,https://inaturalist-open-data.s3.amazonaws.com/photos/25010666/medium.jpg,,"",,2,0,false,3,"1401 Skyline Blvd, Bismarck, ND, US",46.8554583333,-100.769805,5,,,,5,,,false,,,Prairie Tree Cricket,Oecanthus argentinus,Prairie Tree Cricket,Insecta,226219
16915811,bbec249e-51aa-494f-bbd1-f937ac414132,2018/09/24 6:09 PM CDT,2018-09-24,2018-09-24 23:09:00 UTC,Central Time (US & Canada),972936,e16,earl woolsey,2018-09-25 22:22:16 UTC,2022-11-30 04:15:40 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/16915811,https://inaturalist-open-data.s3.amazonaws.com/photos/25545345/medium.jpg,,"","",1,0,false,,"North Dakota, US",47.9983521118,-97.1852742656,,,,,26775,obscured,,true,,,Fall Field Cricket,Gryllus pennsylvanicus,Fall Field Cricket,Insecta,122193
26456422,ffa4283c-230f-4ec8-941d-49591393c32f,Wed Jun 05 2019 14:05:58 GMT-0500 (CDT),2019-06-05,2019-06-05 14:05:58 UTC,UTC,293303,danielle47,Danielle Farkas,2019-06-05 20:05:48 UTC,2022-12-06 19:46:18 UTC,research,,https://www.inaturalist.org/observations/26456422,https://static.inaturalist.org/photos/41083519/medium.jpg,,"",,1,0,false,3,"58496, Woodworth, ND, US",47.2096583333,-99.1737883333,5,,,,5,,,false,,,Spring Field Cricket,Gryllus veletis,Spring Field Cricket,Insecta,129135
27532787,15a66410-d967-4efb-9145-fcaf772aec37,Sun Jun 23 2019 12:29:00 GMT-0500 (CDT),2019-06-23,2019-06-23 17:29:00 UTC,Central Time (US & Canada),461506,megnd,"",2019-06-23 22:17:22 UTC,2022-11-30 04:14:41 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/27532787,https://inaturalist-open-data.s3.amazonaws.com/photos/42847835/medium.jpg,,"",,1,0,false,3,"58554, Mandan, ND, US",46.9422916667,-100.97055,5,,,,5,,,false,,,Spring Field Cricket,Gryllus veletis,Spring Field Cricket,Insecta,129135
29648303,f467021c-451f-4889-815a-6dba121c6477,2019-07-27 11:06:08 AM CDT,2019-07-27,2019-07-27 16:06:08 UTC,Central Time (US & Canada),1288418,daleheinert,Dale,2019-07-27 17:15:52 UTC,2020-01-06 14:43:34 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/29648303,https://inaturalist-open-data.s3.amazonaws.com/photos/46280033/medium.jpg,,"",,1,0,false,2,"Fort Rice, ND 58554, USA",46.51402627,-100.66110605,5,,,,5,,,false,,,Gryllus,Gryllus,,Insecta,71251
30105833,07816e9b-0d89-484a-8e4d-33d3c82632fd,Sat Aug 03 2019 10:12:07 GMT-0500 (CDT),2019-08-03,2019-08-03 10:12:07 UTC,UTC,1506615,mattrousseau,On Cue,2019-08-03 15:12:22 UTC,2019-08-03 15:12:50 UTC,needs_id,,https://www.inaturalist.org/observations/30105833,https://static.inaturalist.org/photos/47015623/medium.jpg,,"",,0,0,false,3,"24th Ave SE, Kintyre, ND, US",46.4082581783,-99.9177078065,5,,,,5,,,false,,,,Gryllus pennsylvanicus,Fall Field Cricket,Insecta,122193
